life: .word 16, 16
.byte 199,199,199,199,199,83,83,83,83,83,83,199,199,199,199,199,
199,199,199,83,83,83,255,98,98,255,83,83,83,199,199,199,
199,199,83,83,255,255,255,98,98,255,255,255,83,83,199,199,
199,83,83,98,255,255,98,98,98,98,255,255,98,83,83,199,
199,83,255,98,98,98,98,98,98,98,98,98,98,255,83,199,
83,83,255,255,98,98,255,255,255,255,98,98,255,255,83,83,
83,255,255,255,98,255,255,255,255,255,255,98,255,255,255,83,
83,255,255,255,98,255,255,255,255,255,255,98,255,255,255,83,
83,255,255,98,98,255,255,255,255,255,255,98,98,255,255,83,
83,98,98,98,98,98,255,255,255,255,98,98,98,98,98,83,
83,98,98,83,83,83,83,83,83,83,83,83,83,98,98,83,
83,83,83,83,255,255,83,255,255,83,255,255,83,83,83,83,
199,83,83,255,255,255,83,255,255,83,255,255,255,83,83,199,
199,199,83,255,255,255,255,255,255,255,255,255,255,83,199,199,
199,199,83,83,255,255,255,255,255,255,255,255,83,83,199,199,
199,199,199,83,83,83,83,83,83,83,83,83,83,199,199,199,


