red_sl: .word 16, 16
.byte 199,199,199,83,83,83,199,199,199,199,199,199,199,199,199,199,
199,199,83,127,127,127,83,199,199,199,199,199,199,199,199,199,
199,83,127,83,255,127,127,83,199,199,199,199,199,199,199,199,
83,127,127,83,255,127,127,83,199,83,83,83,83,83,199,199,
83,83,127,127,127,127,127,83,83,14,14,14,87,87,83,199,
83,127,127,127,83,83,127,83,255,83,14,14,14,14,83,83,
199,83,83,83,127,127,110,83,83,255,83,14,14,83,87,83,
199,199,199,83,83,110,83,255,83,255,83,83,83,14,14,83,
199,199,199,199,83,83,255,255,83,255,83,4,14,14,83,83,
199,199,199,199,83,83,83,83,14,83,255,83,4,83,14,83,
199,199,199,83,83,127,110,83,14,4,83,255,83,83,4,83,
199,199,83,127,127,127,83,4,4,83,110,83,255,255,83,110,
199,199,83,127,127,83,83,83,83,110,127,83,83,83,83,83,
199,199,83,83,83,83,199,199,83,127,127,127,83,83,199,199,
199,199,199,199,199,199,199,199,199,83,127,127,83,199,199,199,
199,199,199,199,199,199,199,199,83,127,127,127,83,199,199,199,


